Component 1,Component 2,article_id
0.09751910990950059,0.34423905137692035,Sanchez-Moreno__0__0__Haacklee Herald
0.5022847908126467,0.29081769620941444,Sanchez-Moreno__0__0__Lomark Daily
0.25376092559845315,0.1456908583080883,Sanchez-Moreno__0__0__The News Buoy
-0.34070745849498796,-0.25965088523758306,Sanchez-Moreno__0__1__Haacklee Herald
-1.354344603586129,-0.3708734517351044,Sanchez-Moreno__0__1__The News Buoy
-1.4243334575501891,-0.6064706816680115,Sanchez-Moreno__0__1__Lomark Daily
0.1419283769251928,-0.5939943175478225,Frey Inc__0__0__Lomark Daily
0.19645113426135413,-0.5797359350277743,Frey Inc__0__0__The News Buoy
-0.010733293388395928,-0.3762810176339519,Frey Inc__0__0__Haacklee Herald
-0.5342736930998783,-0.04483911614479501,Frey Inc__0__1__Haacklee Herald
-0.5548191679698051,-0.3579746551956704,Frey Inc__0__1__Lomark Daily
-0.4175526573616781,-0.3449974387185188,Frey Inc__0__1__The News Buoy
0.15002372234777261,0.3226216189703763,Bowers Group__0__0__Haacklee Herald
-0.051719566161486326,-0.41366271705303254,Bowers Group__0__0__Lomark Daily
0.213121561452208,0.5771129707631297,Bowers Group__0__0__The News Buoy
-0.07773763561040546,0.5662481666526792,Franco-Stuart__0__0__Haacklee Herald
-0.334033196396538,0.47564341313414776,Franco-Stuart__0__0__Lomark Daily
-0.3116819534880278,0.4590716661186271,Franco-Stuart__0__0__The News Buoy
-0.6524907956695718,0.14352055140083483,Franco-Stuart__0__1__Haacklee Herald
-0.5526480628674668,0.1301833997242735,Franco-Stuart__0__1__The News Buoy
-0.49094627769202337,0.18641425247837257,Franco-Stuart__0__1__Lomark Daily
-0.03915746931713617,0.39763559582355174,"Murphy, Marshall and Pope__0__0__Haacklee Herald"
0.18146766796742303,-0.1435501515180455,"Murphy, Marshall and Pope__0__0__Lomark Daily"
-0.10102674068164068,0.3084583264845539,"Murphy, Marshall and Pope__0__0__The News Buoy"
0.4942813244064254,-0.2935426856887016,Alvarez PLC__0__0__Haacklee Herald
-0.046532343150425856,0.608484811581304,Alvarez PLC__0__0__The News Buoy
0.06381317116126556,0.2663212878068564,Alvarez PLC__0__0__Lomark Daily
